Time,Phase Time (s),Density Lane 1,Vol/h Lane 1,Density Lane 2,Vol/h Lane 2,Density Lane 3,Vol/h Lane 3,Density Lane 4,Vol/h Lane 4,Average DS (%),,Total density (veh/m/lane),Total flow (veh/hr)
02:41,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,7,,0.014435696,171.4285714
02:42,84,0.011811024,128.5714286,0.01312336,128.5714286,0,0,0,0,8,,0.024934383,257.1428571
02:44,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,9,,0.024934383,300
02:45,84,0.00656168,85.71428571,0.007874016,85.71428571,0.009186352,128.5714286,0,0,8,,0.023622047,300
02:47,84,0,0,0,0,0,0,0,0,4,,0,0
02:48,84,0,0,0.009186352,85.71428571,0.00656168,85.71428571,0,0,5,,0.015748031,171.4285714
02:50,84,0,0,0,0,0,0,0,0,2,,0,0
02:51,84,0.010498688,128.5714286,0.019685039,214.2857143,0.009186352,128.5714286,0,0,8,,0.039370079,471.4285714
02:52,84,0,0,0,0,0,0,0,0,5,,0,0
02:54,84,0.00656168,85.71428571,0.011811024,128.5714286,0,0,0,0,7,,0.018372703,214.2857143
02:55,84,0.007874016,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,7,,0.026246719,300
02:57,84,0,0,0,0,0,0,0,0,5,,0,0
02:58,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,6,,0.024934383,300
02:59,84,0.007874016,85.71428571,0.007874016,85.71428571,0,0,0,0,6,,0.015748031,171.4285714
03:01,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,7,,0.014435696,171.4285714
03:02,84,0.009186352,128.5714286,0.019685039,214.2857143,0.009186352,128.5714286,0,0,10,,0.038057743,471.4285714
03:04,84,0,0,0,0,0,0,0,0,6,,0,0
03:05,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,6,,0.014435696,171.4285714
03:07,84,0.010498688,128.5714286,0.011811024,128.5714286,0.010498688,128.5714286,0.00656168,85.71428571,6,,0.039370079,471.4285714
03:08,84,0,0,0,0,0,0,0,0,4,,0,0
03:09,84,0.007874016,85.71428571,0.007874016,85.71428571,0,0,0,0,5,,0.015748031,171.4285714
03:11,84,0.00656168,85.71428571,0.018372703,214.2857143,0.01312336,171.4285714,0,0,8,,0.038057743,471.4285714
03:12,84,0,0,0,0,0,0,0,0,6,,0,0
03:14,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,6,,0.014435696,171.4285714
03:15,84,0,0,0,0,0,0,0,0,2,,0,0
03:17,84,0,0,0,0,0,0,0,0,1,,0,0
03:18,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,3,,0.014435696,171.4285714
03:19,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,5,,0.014435696,171.4285714
03:21,84,0,0,0,0,0,0,0,0,3,,0,0
03:22,84,0.00656168,85.71428571,0.015748031,171.4285714,0.009186352,128.5714286,0,0,7,,0.031496063,385.7142857
03:24,84,0,0,0.007874016,85.71428571,0.009186352,128.5714286,0.00656168,85.71428571,7,,0.023622047,300
03:25,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,8,,0.014435696,171.4285714
03:26,84,0.010498688,128.5714286,0.015748031,171.4285714,0.00656168,85.71428571,0,0,9,,0.032808399,385.7142857
03:28,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,8,,0.014435696,171.4285714
03:29,84,0.007874016,85.71428571,0.011811024,128.5714286,0,0,0,0,9,,0.019685039,214.2857143
03:31,84,0.00656168,85.71428571,0.007874016,85.71428571,0.00656168,85.71428571,0.00656168,85.71428571,7,,0.027559055,342.8571429
03:32,84,0.00656168,85.71428571,0.011811024,128.5714286,0.010498688,128.5714286,0,0,8,,0.028871391,342.8571429
03:34,84,0,0,0.011811024,128.5714286,0.009186352,128.5714286,0,0,8,,0.020997375,257.1428571
03:35,84,0.014435696,171.4285714,0.011811024,128.5714286,0.009186352,128.5714286,0.00656168,85.71428571,10,,0.041994751,514.2857143
03:36,84,0.011811024,128.5714286,0.011811024,128.5714286,0,0,0,0,10,,0.023622047,257.1428571
03:38,84,0,0,0,0,0,0,0,0,5,,0,0
03:39,84,0.00656168,85.71428571,0.007874016,85.71428571,0.00656168,85.71428571,0,0,5,,0.020997375,257.1428571
03:41,84,0,0,0,0,0,0,0,0,2,,0,0
